03/11/2016 18:37:27	INFO 	PrizmaValidation-Prizma_Request_11		Testcase executed on the Node IP: localhost
03/11/2016 18:37:27	INFO 	PrizmaValidation-Prizma_Request_11		***** Dataprovider Iteration No: 1 : *****
03/11/2016 18:39:55	INFO 	PrizmaValidation-Prizma_Request_11		Info: caught 'TimeoutException' exception while wait for element ( By.id: IsRequestOninformationtoadequatelypNo ) visibility at 'Prizma Johnson and Johnson' page
03/11/2016 18:40:10	INFO 	PrizmaValidation-Prizma_Request_11		Info: caught 'TimeoutException' exception while wait for element ( By.id: GenIsMdeonV1ApprovalNo ) visibility at 'Prizma Johnson and Johnson' page
03/11/2016 18:41:35	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: button[id='btnNominate_Text']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:00	INFO 	PrizmaValidation-Prizma_Request_11		Info: caught 'TimeoutException' exception while wait for element ( By.cssSelector: input[id='IsGovernmentOfficialUnderLocalLawYES'] ) visibility at 'Prizma Johnson and Johnson' page
03/11/2016 18:42:32	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:32	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:42:33	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:33	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:42:34	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:34	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:42:35	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:35	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:42:36	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:36	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:42:37	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:38	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:42:39	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:39	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:42:40	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:40	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:42:41	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:41	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:42:42	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' element on 'Prizma Johnson and Johnson' page
03/11/2016 18:42:42	INFO 	PrizmaValidation-Prizma_Request_11		Info. Element 'By.cssSelector: input[id='btnSaveNominationAndMoveToNext']' exists on 'Prizma Johnson and Johnson' page.
03/11/2016 18:46:16	INFO 	PrizmaValidation-Prizma_Request_11		Info: caught 'TimeoutException' exception while wait for element ( By.id: IsRequestOninformationtoadequatelypNo ) visibility at 'Prizma Johnson and Johnson' page
03/11/2016 18:46:32	INFO 	PrizmaValidation-Prizma_Request_11		Info: caught 'TimeoutException' exception while wait for element ( By.id: GenIsMdeonV1ApprovalNo ) visibility at 'Prizma Johnson and Johnson' page
03/11/2016 18:47:45	INFO 	PrizmaValidation-Prizma_Request_11		Successfully find 'By.cssSelector: button[id='btnNominate_Text']' element on 'Prizma Johnson and Johnson' page
